y_true,y_pred
MIT,MIT
MIT,MIT
MIT,MIT
NUC,NUC
MIT,MIT
CYT,CYT
MIT,MIT
NUC,NUC
MIT,MIT
CYT,CYT
NUC,NUC
NUC,NUC
CYT,CYT
MIT,MIT
MIT,MIT
CYT,CYT
CYT,CYT
NUC,NUC
NUC,NUC
NUC,NUC
CYT,NUC
CYT,CYT
CYT,CYT
CYT,CYT
CYT,CYT
MIT,MIT
CYT,MIT
CYT,CYT
MIT,MIT
ME1,MIT
NUC,NUC
MIT,MIT
CYT,MIT
NUC,NUC
ME1,NUC
EXC,EXC
MIT,MIT
CYT,MIT
MIT,MIT
MIT,MIT
ME2,MIT
ME2,ME2
ME2,ME2
ME3,ME3
VAC,VAC
NUC,NUC
ME2,ME2
EXC,EXC
VAC,VAC
ME3,ME3
CYT,ME3
ME3,ME3
NUC,NUC
CYT,NUC
CYT,CYT
CYT,CYT
CYT,CYT
CYT,CYT
CYT,CYT
MIT,MIT
MIT,MIT
NUC,NUC
NUC,NUC
NUC,NUC
CYT,NUC
CYT,CYT
CYT,CYT
CYT,CYT
CYT,CYT
EXC,EXC
CYT,EXC
CYT,CYT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
ME3,ME3
ME3,ME3
EXC,EXC
NUC,NUC
CYT,NUC
CYT,CYT
MIT,CYT
CYT,CYT
NUC,NUC
CYT,CYT
ME3,ME3
EXC,EXC
MIT,EXC
MIT,MIT
CYT,MIT
ME3,ME3
ME3,ME3
CYT,ME3
NUC,NUC
CYT,NUC
ME3,ME3
CYT,ME3
CYT,CYT
CYT,CYT
CYT,CYT
POX,CYT
NUC,NUC
NUC,NUC
NUC,NUC
NUC,NUC
MIT,NUC
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
ME3,ME3
MIT,ME3
NUC,NUC
MIT,MIT
NUC,MIT
CYT,NUC
CYT,CYT
CYT,CYT
CYT,CYT
NUC,CYT
NUC,NUC
CYT,NUC
ME3,ME3
NUC,ME3
CYT,NUC
NUC,CYT
CYT,NUC
NUC,CYT
NUC,NUC
NUC,NUC
CYT,NUC
NUC,NUC
CYT,NUC
CYT,CYT
NUC,NUC
NUC,NUC
NUC,NUC
CYT,NUC
NUC,NUC
CYT,NUC
NUC,NUC
NUC,NUC
CYT,NUC
NUC,NUC
NUC,NUC
MIT,MIT
CYT,MIT
CYT,CYT
CYT,CYT
NUC,NUC
NUC,NUC
ME3,ME3
ME3,ME3
ME3,ME3
ME3,ME3
ME3,ME3
NUC,NUC
CYT,CYT
CYT,CYT
CYT,CYT
MIT,MIT
POX,POX
NUC,NUC
NUC,NUC
NUC,NUC
CYT,NUC
CYT,CYT
CYT,CYT
CYT,CYT
CYT,CYT
CYT,CYT
CYT,CYT
CYT,CYT
CYT,CYT
CYT,CYT
CYT,CYT
ME1,CYT
MIT,MIT
CYT,CYT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
MIT,MIT
